序号,入站通道,消息前缀,解析说明,解析规律,参数含义,当前返回信息,后端用途待确认,后端发出格式
118,QT_Return_switch,SelectedDriverList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SelectedDriverList」。,parts[0]: 与 Qt 约定的下行关键字「SelectedDriverList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：兼容旧格式(Desc:Driver)与新格式(Desc:Driver:SDKSupport:Mode)。 代码摘要：// 兼容旧格式(Desc:Driver)与新格式(Desc:Driver:SDKSupport:Mode) if (parts.length >= 3) { this.loadSelectedDriverListFromParts(parts); } break;,兼容旧格式(Desc:Driver)与新格式(Desc:Driver:SDKSupport:Mode),,QT_Return message 建议: SelectedDriverList:...
119,QT_Return_switch,BindDeviceList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「BindDeviceList」。,parts[0]: 与 Qt 约定的下行关键字「BindDeviceList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：兼容两种格式：。 代码摘要：// 兼容两种格式： // - 旧：BindDeviceList:Name1:Index1:Name2:Index2:... // - 新：BindDeviceList:Type1:Name1:Index1:Type2:Name2:Index2:... if (parts.length > 1) { const payload = parts.slice(1); if (payload.length % 3 === 0) { const list = []; for (...,兼容两种格式：,,QT_Return message 建议: BindDeviceList:...
120,QT_Return_switch,SDKVersionAndUSBSerialPath,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SDKVersionAndUSBSerialPath」。,parts[0]: 与 Qt 约定的下行关键字「SDKVersionAndUSBSerialPath」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：固定格式：SDKVersionAndUSBSerialPath:Type1:SDK1:USB1:Type2:SDK2:USB2:...。 代码摘要：// 固定格式：SDKVersionAndUSBSerialPath:Type1:SDK1:USB1:Type2:SDK2:USB2:... if (parts.length > 1 && ((parts.length - 1) % 3 === 0)) { for (let i = 1; i < parts.length; i += 3) { const Type = (parts[i] || '').trim(); const SDK = (parts[i + 1] ...,向下游抛出 $bus 事件: sendCurrentConnectedDevices；固定格式：SDKVersionAndUSBSerialPath:Type1:SDK1:USB1:Type2:SDK2:USB2:...,,QT_Return message 建议: SDKVersionAndUSBSerialPath:...
121,QT_Return_switch,BindDeviceTypeList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「BindDeviceTypeList」。,"parts[0]: 与 Qt 约定的下行关键字「BindDeviceTypeList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length >= 5) { // 确保至少有五个参数加上前缀 const deviceTypeObjects = []; for (let i = 1; i < parts.length; i += 4) { const deviceTypeObject = { Type: parts[i], DeviceName: parts[i + 1], DriverName: parts[i + 2], isbind: parts[i + 3] == ""t...",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: BindDeviceTypeList:...
122,QT_Return_switch,deleteDeviceAllocationList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「deleteDeviceAllocationList」。,parts[0]: 与 Qt 约定的下行关键字「deleteDeviceAllocationList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const deviceName = parts[1]; this.deleteDeviceAllocationList(deviceName); } break;,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: deleteDeviceAllocationList:...
123,QT_Return_switch,deleteDeviceTypeAllocationList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「deleteDeviceTypeAllocationList」。,"parts[0]: 与 Qt 约定的下行关键字「deleteDeviceTypeAllocationList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const deviceType = parts[1]; if (deviceType != '') { this.$bus.$emit('deleteDeviceTypeAllocationList', deviceType); } if (deviceType == 'CFW') { for (let i = 0; i < this.devices.length; i++) { if (this.devices[i...",向下游抛出 $bus 事件: deleteDeviceTypeAllocationList、CFWConnected,,QT_Return message 建议: deleteDeviceTypeAllocationList:...
124,QT_Return_switch,ParseInfoEmitted,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ParseInfoEmitted」。,"parts[0]: 与 Qt 约定的下行关键字「ParseInfoEmitted」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const progress = parts[1]; this.$bus.$emit('ParseInfoEmitted', progress); } break;",向下游抛出 $bus 事件: ParseInfoEmitted,,QT_Return message 建议: ParseInfoEmitted:...
125,QT_Return_switch,GuiderUpdateStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderUpdateStatus」。,"parts[0]: 与 Qt 约定的下行关键字「GuiderUpdateStatus」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：case 'LoopSolveImageFinished':。 代码摘要：if (parts.length === 2) { const status = parts[1]; this.$bus.$emit('GuiderUpdateStatus', parseInt(status, 10)); } break; // case 'LoopSolveImageFinished': // this.$bus.$emit('LoopSolveImageFinished'); // break;",向下游抛出 $bus 事件: GuiderUpdateStatus、LoopSolveImageFinished；case 'LoopSolveImageFinished':,,QT_Return message 建议: GuiderUpdateStatus:...
126,QT_Return_switch,LoopSolveImageFinished,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「LoopSolveImageFinished」。,parts[0]: 与 Qt 约定的下行关键字「LoopSolveImageFinished」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: LoopSolveImageFinished:...
127,QT_Return_switch,disconnectDevicehasortherdevice,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「disconnectDevicehasortherdevice」。,parts[0]: 与 Qt 约定的下行关键字「disconnectDevicehasortherdevice」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const drivername = parts[1]; this.showSelectdisconnectDriver(drivername); } break;,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: disconnectDevicehasortherdevice:...
128,QT_Return_switch,getFocuserMoveState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「getFocuserMoveState」。,parts[0]: 与 Qt 约定的下行关键字「getFocuserMoveState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.$bus.$emit('getFocuserMoveState'); break;,向下游抛出 $bus 事件: getFocuserMoveState,,QT_Return message 建议: getFocuserMoveState:...
129,QT_Return_switch,FocusMoveToLimit,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocusMoveToLimit」。,"parts[0]: 与 Qt 约定的下行关键字「FocusMoveToLimit」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const errorlog = parts[1]; this.callShowMessageBox(errorlog, 'error'); } break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: FocusMoveToLimit:...
130,QT_Return_switch,startFocusLoopFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「startFocusLoopFailed」。,"parts[0]: 与 Qt 约定的下行关键字「startFocusLoopFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const message = parts[1]; this.$bus.$emit('startFocusLoopFailed', message); } break;",向下游抛出 $bus 事件: startFocusLoopFailed,,QT_Return message 建议: startFocusLoopFailed:...
131,QT_Return_switch,setFocuserLoopingState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「setFocuserLoopingState」。,"parts[0]: 与 Qt 约定的下行关键字「setFocuserLoopingState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：停止 ROI 循环时，清空 ROI 叠加层，避免画面残留。 代码摘要：if (parts.length === 2) { const message = parts[1]; this.$bus.$emit('setFocuserLoopingState', message); if (message == 'true') { this.isFocusLoopShooting = true; } else { this.isFocusLoopShooting = false; // 停止 ROI 循环时，清空 ROI 叠加层，避免画面残留 ...",向下游抛出 $bus 事件: setFocuserLoopingState；停止 ROI 循环时，清空 ROI 叠加层，避免画面残留,,QT_Return message 建议: setFocuserLoopingState:...
132,QT_Return_switch,focuserROIStarsList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「focuserROIStarsList」。,"parts[0]: 与 Qt 约定的下行关键字「focuserROIStarsList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：case 'clearFocuserROIStarsList':。 代码摘要：if (parts.length === 4) { const x = parts[1]; const y = parts[2]; const HFR = parts[3]; this.focuserROIStarsList.push({ x, y, HFR }); } break; // case 'clearFocuserROIStarsList': // this.focuserROIStarsList = []; // break;",case 'clearFocuserROIStarsList':,,QT_Return message 建议: focuserROIStarsList:...
133,QT_Return_switch,clearFocuserROIStarsList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「clearFocuserROIStarsList」。,parts[0]: 与 Qt 约定的下行关键字「clearFocuserROIStarsList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: clearFocuserROIStarsList:...
134,QT_Return_switch,setSelectStarPosition,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「setSelectStarPosition」。,parts[0]: 与 Qt 约定的下行关键字「setSelectStarPosition」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { this.DrawSelectStarX = parseFloat(parts[1]); this.DrawSelectStarY = parseFloat(parts[2]); this.DrawSelectStarHFR = parseFloat(parts[3]); } break;,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: setSelectStarPosition:...
135,QT_Return_switch,SetRedBoxState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetRedBoxState」。,"parts[0]: 与 Qt 约定的下行关键字「SetRedBoxState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { const length = parseInt(parts[1]); this.ROI_x = parseFloat(parts[2]); this.ROI_y = parseFloat(parts[3]); this.setRedBoxState(length, this.ROI_x, this.ROI_y); console.log('设置红色ROI框: ', length, this.ROI_x, this.RO...",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: SetRedBoxState:...
136,QT_Return_switch,SetVisibleArea,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetVisibleArea」。,"parts[0]: 与 Qt 约定的下行关键字「SetVisibleArea」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：SetVisibleArea 也代表一次视窗变化，记录位置以便下次拍摄恢复。 代码摘要：if (parts.length === 4) { this.visibleX = parseFloat(parts[1]); this.visibleY = parseFloat(parts[2]); this.scale = parseFloat(parts[3]); this.$bus.$emit('setScale', this.scale); this.emitTileLevelInfo(); // SetVisibleArea 也代表一次视窗变化，记录位置以...",向下游抛出 $bus 事件: setScale；SetVisibleArea 也代表一次视窗变化，记录位置以便下次拍摄恢复,,QT_Return message 建议: SetVisibleArea:...
137,QT_Return_switch,SetSelectStars,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetSelectStars」。,"parts[0]: 与 Qt 约定的下行关键字「SetSelectStars」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { this.selectStarX = parseFloat(parts[1]); this.selectStarY = parseFloat(parts[2]); this.SendConsoleLogMsg('update SelectStars x=' + this.selectStarX + ', y=' + this.selectStarY, 'info'); } break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: SetSelectStars:...
138,QT_Return_switch,updateCPUInfo,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「updateCPUInfo」。,parts[0]: 与 Qt 约定的下行关键字「updateCPUInfo」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { let cpuTemp = parseFloat(parts[1]); let cpuUsage = parseFloat(parts[2]); this.cpuTemp = isNaN(cpuTemp) ? null : (cpuTemp % 1 === 0 ? cpuTemp : cpuTemp.toFixed(1)); // 如果 cpuTemp 是 NaN，设置为 null，否则如果 cpuTemp 是整数，就...,向下游抛出 $bus 事件: updateCPUInfo,,QT_Return message 建议: updateCPUInfo:...
139,QT_Return_switch,SchedulePresetList,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SchedulePresetList」。,"parts[0]: 与 Qt 约定的下行关键字「SchedulePresetList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：任务计划表预设名称列表：SchedulePresetList:name1;name2;name3。 代码摘要：// 任务计划表预设名称列表：SchedulePresetList:name1;name2;name3 if (parts.length === 2) { const raw = parts[1] || ''; const names = raw ? raw.split(';') : []; this.$bus.$emit('SchedulePresetList', names); } break;",向下游抛出 $bus 事件: SchedulePresetList；任务计划表预设名称列表：SchedulePresetList:name1;name2;name3,,QT_Return message 建议: SchedulePresetList:...
140,QT_Return_switch,ScheduleStepState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ScheduleStepState」。,"parts[0]: 与 Qt 约定的下行关键字「ScheduleStepState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：任务计划表细粒度步骤状态：。 代码摘要：// 任务计划表细粒度步骤状态： // ScheduleStepState:row:currentStep:loopDone:loopTotal:stepProgress if (parts.length === 6) { const row = parseInt(parts[1]); const payload = { currentStep: parts[2], loopDone: parseInt(parts[3]), loopTotal: parseInt(pa...",向下游抛出 $bus 事件: ScheduleStepState；任务计划表细粒度步骤状态：,,QT_Return message 建议: ScheduleStepState:...
141,QT_Return_switch,ScheduleLoopState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ScheduleLoopState」。,"parts[0]: 与 Qt 约定的下行关键字「ScheduleLoopState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：任务计划表循环次数专用状态：。 代码摘要：// 任务计划表循环次数专用状态： // ScheduleLoopState:row:loopDone:loopTotal:progress if (parts.length === 5) { const row = parseInt(parts[1]); const payload = { loopDone: parseInt(parts[2]), loopTotal: parseInt(parts[3]), progress: parseInt(parts[4]) ...",向下游抛出 $bus 事件: ScheduleLoopState；任务计划表循环次数专用状态：,,QT_Return message 建议: ScheduleLoopState:...
142,QT_Return_switch,ScheduleRunning,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ScheduleRunning」。,"parts[0]: 与 Qt 约定的下行关键字「ScheduleRunning」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：ScheduleRunning:true/false —— 后端显式告知当前任务计划运行状态。 代码摘要：// ScheduleRunning:true/false —— 后端显式告知当前任务计划运行状态 if (parts.length === 2) { const running = parts[1] === 'true'; this.$bus.$emit('ScheduleRunning', running); } break;",向下游抛出 $bus 事件: ScheduleRunning；ScheduleRunning:true/false —— 后端显式告知当前任务计划运行状态,,QT_Return message 建议: ScheduleRunning:...
143,QT_Return_switch,TianWen,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TianWen」。,"parts[0]: 与 Qt 约定的下行关键字「TianWen」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { const notice_type = parts[1]; const ra = parts[2]; const dec = parts[3]; this.$bus.$emit('TianWen', notice_type, ra, dec); } break;",向下游抛出 $bus 事件: TianWen,,QT_Return message 建议: TianWen:...
144,QT_Return_switch,setMainCameraParameters,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「setMainCameraParameters」。,parts[0]: 与 Qt 约定的下行关键字「setMainCameraParameters」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端下发串口候选列表与当前使用/覆盖的串口：。 代码摘要：if (parts.length >= 3) { let parameters = {}; for (let i = 1; i < parts.length; i += 2) { const parameter = parts[i]; const value = parts[i + 1]; parameters[parameter] = value; } this.setMainCameraParameters(parameters); } break; // 后端下发...,后端下发串口候选列表与当前使用/覆盖的串口：,,QT_Return message 建议: setMainCameraParameters:...
145,QT_Return_switch,SerialPortOptions,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SerialPortOptions」。,"parts[0]: 与 Qt 约定的下行关键字「SerialPortOptions」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：解析 ""<portPath>-><displayName>"" 为 { label, value }。 代码摘要：{ if (parts.length >= 3) { const driverType = parts[1]; const currentPort = parts[2] || ''; const rawPorts = parts.slice(3); // 解析 ""<portPath>-><displayName>"" 为 { label, value } const parsedItems = rawPorts .map(p => { const [path, name]...","解析 ""<portPath>-><displayName>"" 为 { label, value }",,QT_Return message 建议: SerialPortOptions:...
146,QT_Return_switch,RequestSerialPortSelection,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「RequestSerialPortSelection」。,"parts[0]: 与 Qt 约定的下行关键字「RequestSerialPortSelection」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：切换到对应驱动类型，使连接面板中显示该设备的串口/波特率设置。 代码摘要：{ if (parts.length >= 2) { const driverType = parts[1]; // 切换到对应驱动类型，使连接面板中显示该设备的串口/波特率设置 this.CurrentDriverType = driverType; // 可选：给用户一个提示 this.callShowMessageBox(this.$t('Please select serial port for ') + driverType, 'info'); } break; }",切换到对应驱动类型，使连接面板中显示该设备的串口/波特率设置,,QT_Return message 建议: RequestSerialPortSelection:...
147,QT_Return_switch,localMessage,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「localMessage」。,"parts[0]: 与 Qt 约定的下行关键字「localMessage」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：来自后端的语言更新（优先级：backend = 3）。 代码摘要：if (parts.length === 4) { const lat = parts[1]; const lon = parts[2]; const language = parts[3]; this.SendConsoleLogMsg('2------------获得参数设置localMessage: ' + lat + ',' + lon + ',' + language, 'info'); if (language == 'zh') { // 来自后端的语言更新...",向下游抛出 $bus 事件: ClientLanguage、setLocationLatAndLon；来自后端的语言更新（优先级：backend = 3）,,QT_Return message 建议: localMessage:...
148,QT_Return_switch,isAutoLocation,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「isAutoLocation」。,"parts[0]: 与 Qt 约定的下行关键字「isAutoLocation」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const isAutoLocation = parts[1]; this.$bus.$emit('isAutoLocation', isAutoLocation); } break;",向下游抛出 $bus 事件: isAutoLocation,,QT_Return message 建议: isAutoLocation:...
