序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
357,websocket_text_json,QT_Return,localMessage,hub_to_browser,"QT_Return.message = ""localMessage:<segments...>""（部分消息 payload 含额外 ':' 需 join）",来自后端的语言更新（优先级：backend = 3）,"if (parts.length === 4) { const lat = parts[1]; const lon = parts[2]; const language = parts[3]; this.SendConsoleLogMsg('2------------获得参数设置localMessage: ' + lat + ',' + lon + ',' + language, 'info'); if (language == 'zh') { // 来自后端的语言更新（优先级：backend = 3） this.$bus.$emit('ClientLanguage', 'cn', 'backend'); } else { t...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,ClientLanguage|setLocationLatAndLon,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""localMessage""",App.vue switch(messageType) -> ClientLanguage|setLocationLatAndLon,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「localMessage」。,"parts[0]: 与 Qt 约定的下行关键字「localMessage」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：来自后端的语言更新（优先级：backend = 3）。 代码摘要：if (parts.length === 4) { const lat = parts[1]; const lon = parts[2]; const language = parts[3]; this.SendConsoleLogMsg('2------------获得参数设置localMessage: ' + lat + ',' + lon + ',' + language, 'info'); if (language == 'zh') { // 来自后端的语言更新...",normal,
358,websocket_text_json,QT_Return,isAutoLocation,hub_to_browser,"QT_Return.message = ""isAutoLocation:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=isAutoLocation; 详见 App.vue case 分支,"if (parts.length === 2) { const isAutoLocation = parts[1]; this.$bus.$emit('isAutoLocation', isAutoLocation); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,isAutoLocation,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> isAutoLocation,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「isAutoLocation」。,"parts[0]: 与 Qt 约定的下行关键字「isAutoLocation」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const isAutoLocation = parts[1]; this.$bus.$emit('isAutoLocation', isAutoLocation); } break;",normal,
359,websocket_text_json,QT_Return,sendGetLocation,hub_to_browser,"QT_Return.message = ""sendGetLocation:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=sendGetLocation; 详见 App.vue case 分支,"if (parts.length === 3) { const lat = parts[1]; const lon = parts[2]; this.SendConsoleLogMsg('sendGetLocation: ' + lat + ',' + lon, 'info'); this.$bus.$emit('sendGetLocation', lat, lon); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,sendGetLocation,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> sendGetLocation,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「sendGetLocation」。,"parts[0]: 与 Qt 约定的下行关键字「sendGetLocation」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const lat = parts[1]; const lon = parts[2]; this.SendConsoleLogMsg('sendGetLocation: ' + lat + ',' + lon, 'info'); this.$bus.$emit('sendGetLocation', lat, lon); } break;",normal,
360,websocket_text_json,QT_Return,MainCameraCFA,hub_to_browser,"QT_Return.message = ""MainCameraCFA:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MainCameraCFA; 详见 App.vue case 分支,"if (parts.length === 2) { let value = parts[1]; if (value === '') { value = 'null'; } else if (value === 'GRBG') { value = 'GR'; } else if (value === 'GBRG') { value = 'GB'; } else if (value === 'BGGR') { value = 'BG'; } else if (value === 'RG') { value = 'RGGB'; } this.ImageCFA = value; console.log(""获取到的主相机参数 MainC...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraCFA」。,parts[0]: 与 Qt 约定的下行关键字「MainCameraCFA」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { let value = parts[1]; if (value === '') { value = 'null'; } else if (value === 'GRBG') { value = 'GR'; } else if (value === 'GBRG') { value = 'GB'; } else if (value === 'BGGR') { value = 'BG'; } else if (value =...,normal,
361,websocket_text_json,QT_Return,CameraNotIdle,hub_to_browser,"QT_Return.message = ""CameraNotIdle:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=CameraNotIdle; 详见 App.vue case 分支,"this.callShowMessageBox('Camera is not idle', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,MountOperationComplete,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> MountOperationComplete,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「CameraNotIdle」。,"parts[0]: 与 Qt 约定的下行关键字「CameraNotIdle」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Camera is not idle', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",normal,
362,websocket_text_json,QT_Return,MainCameraNotConnect,hub_to_browser,"QT_Return.message = ""MainCameraNotConnect:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MainCameraNotConnect; 详见 App.vue case 分支,"this.callShowMessageBox('Main Camera is not connect', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,MountOperationComplete,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> MountOperationComplete,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraNotConnect」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraNotConnect」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Main Camera is not connect', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",normal,
363,websocket_text_json,QT_Return,MountNotConnect,hub_to_browser,"QT_Return.message = ""MountNotConnect:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MountNotConnect; 详见 App.vue case 分支,"this.callShowMessageBox('Mount is not connect', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,MountOperationComplete,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> MountOperationComplete,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MountNotConnect」。,"parts[0]: 与 Qt 约定的下行关键字「MountNotConnect」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Mount is not connect', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",medium,
364,websocket_text_json,QT_Return,ServerInitSuccess,hub_to_browser,"QT_Return.message = ""ServerInitSuccess:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=ServerInitSuccess; 详见 App.vue case 分支,"this.callShowMessageBox('Server init success', 'success'); window.location.reload(); break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ServerInitSuccess」。,"parts[0]: 与 Qt 约定的下行关键字「ServerInitSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Server init success', 'success'); window.location.reload(); break;",normal,
365,websocket_text_json,QT_Return,PolarAlignmentState,hub_to_browser,"QT_Return.message = ""PolarAlignmentState:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=PolarAlignmentState; 详见 App.vue case 分支,"if (parts.length === 5) { const isRunning = parts[1] == 'true'; const state = parts[2]; const message = parts[3]; const percentage = parts[4]; console.log('PolarAlignmentState: ', isRunning, state, message, percentage); this.$bus.$emit('PolarAlignmentIsRunning', isRunning); this.$bus.$emit('PolarAlignmentState', sta...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,PolarAlignmentIsRunning|PolarAlignmentState,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> PolarAlignmentIsRunning|PolarAlignmentState,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PolarAlignmentState」。,"parts[0]: 与 Qt 约定的下行关键字「PolarAlignmentState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 5) { const isRunning = parts[1] == 'true'; const state = parts[2]; const message = parts[3]; const percentage = parts[4]; console.log('PolarAlignmentState: ', isRunning, state, message, percentage); this.$bus.$emit('...",high,
366,websocket_text_json,QT_Return,PolarAlignmentAdjustmentGuideData,hub_to_browser,"QT_Return.message = ""PolarAlignmentAdjustmentGuideData:<segments...>""（部分消息 payload 含额外 ':' 需 join）",新增：四个角点,if (parts.length === 21) { // 从17改为21 const ra = parseFloat(parts[1]); const dec = parseFloat(parts[2]); // 新增：四个角点 const ra0 = parseFloat(parts[3]); const dec0 = parseFloat(parts[4]); const ra1 = parseFloat(parts[5]); const dec1 = parseFloat(parts[6]); const ra2 = parseFloat(parts[7]); const dec2 = parseFloat(parts...,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,FieldDataUpdate|updateCardInfo,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> FieldDataUpdate|updateCardInfo,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PolarAlignmentAdjustmentGuideData」。,parts[0]: 与 Qt 约定的下行关键字「PolarAlignmentAdjustmentGuideData」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：新增：四个角点。 代码摘要：if (parts.length === 21) { // 从17改为21 const ra = parseFloat(parts[1]); const dec = parseFloat(parts[2]); // 新增：四个角点 const ra0 = parseFloat(parts[3]); const dec0 = parseFloat(parts[4]); const ra1 = parseFloat(parts[5]); const dec1 = parse...,high,
367,websocket_text_json,QT_Return,PolarAlignmentGuidanceStepProgress,hub_to_browser,"QT_Return.message = ""PolarAlignmentGuidanceStepProgress:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=PolarAlignmentGuidanceStepProgress; 详见 App.vue case 分支,"if (parts.length === 4) { const step = parseInt(parts[1]); const message = parts[2]; const starCount = parseInt(parts[3]); console.log('PolarAlignmentGuidanceStepProgress: ', step, message, starCount); this.$bus.$emit('PolarAlignmentGuidanceStepProgress', step, message, starCount); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,PolarAlignmentGuidanceStepProgress,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> PolarAlignmentGuidanceStepProgress,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PolarAlignmentGuidanceStepProgress」。,"parts[0]: 与 Qt 约定的下行关键字「PolarAlignmentGuidanceStepProgress」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { const step = parseInt(parts[1]); const message = parts[2]; const starCount = parseInt(parts[3]); console.log('PolarAlignmentGuidanceStepProgress: ', step, message, starCount); this.$bus.$emit('PolarAlignmentGuid...",high,
368,websocket_text_json,QT_Return,focusMoveFailed,hub_to_browser,"QT_Return.message = ""focusMoveFailed:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=focusMoveFailed; 详见 App.vue case 分支,"if (parts.length === 2) { const message = parts[1]; this.callShowMessageBox(message, 'error'); this.$bus.$emit('focusMoveFailed', message); }",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,focusMoveFailed,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> focusMoveFailed,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「focusMoveFailed」。,"parts[0]: 与 Qt 约定的下行关键字「focusMoveFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const message = parts[1]; this.callShowMessageBox(message, 'error'); this.$bus.$emit('focusMoveFailed', message); }",normal,
369,websocket_text_json,QT_Return,focusMoveFailed,hub_to_browser,"QT_Return.message = ""focusMoveFailed:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=focusMoveFailed; 详见 App.vue case 分支,"if (parts.length === 2) { const message = parts[1]; this.callShowMessageBox(message, 'error'); this.$bus.$emit('focusMoveFailed', message); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,focusMoveFailed,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> focusMoveFailed,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「focusMoveFailed」。,"parts[0]: 与 Qt 约定的下行关键字「focusMoveFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const message = parts[1]; this.callShowMessageBox(message, 'error'); this.$bus.$emit('focusMoveFailed', message); } break;",normal,
370,websocket_text_json,QT_Return,MeridianETA_hms,hub_to_browser,"QT_Return.message = ""MeridianETA_hms:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MeridianETA_hms; 详见 App.vue case 分支,{ if (parts.length >= 4) { const h = parts[1]; const m = parts[2]; const s = parts[3]; const hms = `${h}:${m}:${s}`; const item = this.MountConfigItems.find(i => i.label === 'Flip ETA'); if (item) { item.value = hms; item.displayValue = hms; } } break; },messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MeridianETA_hms」。,parts[0]: 与 Qt 约定的下行关键字「MeridianETA_hms」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：{ if (parts.length >= 4) { const h = parts[1]; const m = parts[2]; const s = parts[3]; const hms = `${h}:${m}:${s}`; const item = this.MountConfigItems.find(i => i.label === 'Flip ETA'); if (item) { item.value = hms; item.displayValue = ...,high,
371,websocket_text_json,QT_Return,AutoFlip,hub_to_browser,"QT_Return.message = ""AutoFlip:<segments...>""（部分消息 payload 含额外 ':' 需 join）",TODO::自动翻转功能暂时关闭，需要时再打开,"if (parts.length >= 2) { // TODO::自动翻转功能暂时关闭，需要时再打开 console.log('当前AutoFlip命令未启用: ', parts[1]); break; const isAutoFlip = parts[1]; // 查找是否已存在 ""AutoFlip"" 项 let item = this.MountConfigItems.find(i => i.label === 'AutoFlip'); if (item) { // 已存在 → 更新 item.value = isAutoFlip == 'true'; } else { // 不存在 → 新增 this.MountCon...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,SetFlipMode,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""AutoFlip""",App.vue switch(messageType) -> SetFlipMode,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFlip」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFlip」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：TODO::自动翻转功能暂时关闭，需要时再打开。 代码摘要：if (parts.length >= 2) { // TODO::自动翻转功能暂时关闭，需要时再打开 console.log('当前AutoFlip命令未启用: ', parts[1]); break; const isAutoFlip = parts[1]; // 查找是否已存在 ""AutoFlip"" 项 let item = this.MountConfigItems.find(i => i.label === 'AutoFlip'); if (item) { /...",high,
372,websocket_text_json,QT_Return,FlipStatus,hub_to_browser,"QT_Return.message = ""FlipStatus:<segments...>""（部分消息 payload 含额外 ':' 需 join）",case 'MinutesPastMeridian':,"if (parts.length === 2) { if (this.$bus && this.$bus.$emit) { this.$bus.$emit('FlipStatus', parts[1]); } } break; // case 'MinutesPastMeridian': // if (parts.length >= 3) { // const EastMinutesPastMeridian = parts[1]; // const WestMinutesPastMeridian = parts[2]; // let item = this.MountConfigItems.find(i => i.label ...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,FlipStatus,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> FlipStatus,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FlipStatus」。,"parts[0]: 与 Qt 约定的下行关键字「FlipStatus」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：case 'MinutesPastMeridian':。 代码摘要：if (parts.length === 2) { if (this.$bus && this.$bus.$emit) { this.$bus.$emit('FlipStatus', parts[1]); } } break; // case 'MinutesPastMeridian': // if (parts.length >= 3) { // const EastMinutesPastMeridian = parts[1]; // const WestMinute...",high,
373,websocket_text_json,QT_Return,EastMinutesPastMeridian,hub_to_browser,"QT_Return.message = ""EastMinutesPastMeridian:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=EastMinutesPastMeridian; 详见 App.vue case 分支,"if (parts.length === 2) { const EastMinutesPastMeridian = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'EastMinutesPastMeridian'); if (item) { item.value = EastMinutesPastMeridian; } else { this.MountConfigItems.push({ driverType: 'Mount', label: 'EastMinutesPastMeridian', value: EastMinutesPastM...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""EastMinutesPastMeridian""",App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「EastMinutesPastMeridian」。,parts[0]: 与 Qt 约定的下行关键字「EastMinutesPastMeridian」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const EastMinutesPastMeridian = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'EastMinutesPastMeridian'); if (item) { item.value = EastMinutesPastMeridian; } else { this.MountConfigItems.push(...,high,
374,websocket_text_json,QT_Return,WestMinutesPastMeridian,hub_to_browser,"QT_Return.message = ""WestMinutesPastMeridian:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=WestMinutesPastMeridian; 详见 App.vue case 分支,"if (parts.length === 2) { const WestMinutesPastMeridian = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'WestMinutesPastMeridian'); if (item) { item.value = WestMinutesPastMeridian; } else { this.MountConfigItems.push({ driverType: 'Mount', label: 'WestMinutesPastMeridian', value: WestMinutesPastM...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""WestMinutesPastMeridian""",App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「WestMinutesPastMeridian」。,parts[0]: 与 Qt 约定的下行关键字「WestMinutesPastMeridian」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const WestMinutesPastMeridian = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'WestMinutesPastMeridian'); if (item) { item.value = WestMinutesPastMeridian; } else { this.MountConfigItems.push(...,high,
375,websocket_text_json,QT_Return,GotoThenSolve,hub_to_browser,"QT_Return.message = ""GotoThenSolve:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=GotoThenSolve; 详见 App.vue case 分支,if (parts.length === 2) { const GotoThenSolve = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'GotoThenSolve'); if (item) { item.value = GotoThenSolve; } } break;,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""GotoThenSolve""",App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GotoThenSolve」。,parts[0]: 与 Qt 约定的下行关键字「GotoThenSolve」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const GotoThenSolve = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'GotoThenSolve'); if (item) { item.value = GotoThenSolve; } } break;,high,
376,websocket_text_json,QT_Return,SolveCurrentPosition,hub_to_browser,"QT_Return.message = ""SolveCurrentPosition:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=SolveCurrentPosition; 详见 App.vue case 分支,if (parts.length >= 2) { this.MountConfigItems.find(i => i.label === 'SolveCurrentPosition').value = false; if (parts[1] === 'succeeded') { const RA_Degree = parts[2]; const DEC_Degree = parts[3]; const RA_0 = parts[4]; const DEC_0 = parts[5]; const RA_1 = parts[6]; const DEC_1 = parts[7]; const RA_2 = parts[8]; con...,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""SolveCurrentPosition""",App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveCurrentPosition」。,parts[0]: 与 Qt 约定的下行关键字「SolveCurrentPosition」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length >= 2) { this.MountConfigItems.find(i => i.label === 'SolveCurrentPosition').value = false; if (parts[1] === 'succeeded') { const RA_Degree = parts[2]; const DEC_Degree = parts[3]; const RA_0 = parts[4]; const DEC_0 = par...,high,
